@relation tweet
@attribute text string
@attribute country{"Nepal","Angola","Republik der Philippinen","Zambia","Uzbekistan","Suécia","Mongolia","Hungary","Bolivia","Francia","Luxembourg","Eesti","Japon","Україна","Senegal","Belarus'","Seychelles","Greece","Madagascar","Latvia","Somalia","Islamic Republic of Iran","Democratic Republic of Congo","Canadá","République Démocratique Du Congo","Viro","Lebanon","Vatican City","Spagna","Croatie","Regno Unito","Morocco","Republic of Croatia","Alemania","Emirati Arabi Uniti","Estonia","Azerbaijan","Montenegro","新加坡","Uganda","مملكة البحرين","Turks and Caicos Islands","Haiti","ญี่ปุ่น","Nicaragua","Vereinigte Staaten","Switzerland","Royaume du Maroc","Việt Nam","Grecia","Kazakhstan","Spanien","Romania","Germania","Kanada","Vietnam","भारत","Magyarország","Guadeloupe","Norge","Trinidad and Tobago","Hashemite Kingdom of Jordan","Cameroon","Kyrgyzstan","Malta","일본","Polska","Suomi","Bulgaria","Norway","Brunei","ישראל","Namibia","Reino Unido","Libya","Paraguay","Japón","Republic of Mozambique","","Ethiopia","Latvija","Bangladesh","Republic of Belarus","Georgia","لبنان","Martinique","Germany","Antigua and Barbuda","Zimbabwe","Republic of Mauritius","Schweiz","Tunisia","Guatemala","Mexique","Albania","Czech Republic","French Polynesia","Austria","الامارات العربية المتحدة","Svizzera","Algeria","Spanje","Islas Turcas y Caicos","Cuba","Moldova","Panamá","Central African Republic","Hellas","Ελλάς","Япония","Qatar","Curaçao","Ecuador","Poland","Monaco","Liban","Hrvatska","Cayman Islands","New Zealand","Botswana","România","Belgium","Cyprus","Guinea Bissau","Bélgica","دولة الكويت","Peru","Sint Maarten","Kuwait","Panama","Grécia","El Salvador","Republic of Serbia","Danmark","Беларусь","Österreich","Afghanistan","Spain","Espagne","Kenya","Sverige","República de Moçambique","Italy","Lesotho","België","Etats-Unis","Australia","Cambodia","Turkey","Bahrain","Andorra","Ghana","대한민국","Jamaica","Česká republika","Argentina","Украина","Ukraine","Denmark","Republic of Korea","مصر","Israel","Pakistan","Singapore","People's Republic of China","Portugal","المملكة العربية السعودية","France","Costa Rica","Kingdom of Saudi Arabia","Egypt","Republika ng Pilipinas","Mexico","Russia","Nederland","Ireland","Colombia","中华人民共和国","Finland","Thailand","Deutschland","Sweden","Tanzania","South Africa","India","España","United Kingdom","台灣","Italia","Türkiye","Espanya","Taiwan","The Netherlands","香港","Hong Kong","Nigeria","Россия","Malaysia","Dominican Republic","Venezuela","Republic of the Philippines","Estados Unidos","United Arab Emirates","Chile","Brazil","Indonesia","Sri Lanka","Japan","Brasil","México","Canada","ประเทศไทย","日本","United States"}
@data

"I'm at Cahaya SPK Seksyen U9 in Shah Alam Selangor https  t co Zbf8VrVu4E  KLG SGR  #Ynwa http  vsco co dayatismail  1557127063662  null","Malaysia"
"6回裏 レアード センターへ第１１号ソロホームラン ロ5 2日 #lovefighters https  t co aMXQEmzqSU  null  北海道日本ハムファイターズの試合速報をツイートします。他の球団については本アカウントのフォロー先を参照してください。witter公式のタイムライン上のサムネイルで内容がわかるように画像を最適化しています。追加の情報は画像全体を表示させてください。  1557127122658  null","日本"
"Just posted a photo @ GDC Grand Depok City https  t co Ifjg7lgKtv  Depok Indonesia  Germany Manchester United Juventus Persija Persib Roasi formula 1 Audi BMW Ferarri Slank dll  1557127164663  null","Indonesia"
"I'm at 道の駅 笠岡ベイファーム in 笠岡市 岡山県 https  t co yQ9R66Sqlc  広島  下手の横好きでミニバイクレースやってますた。４０超えましたがまだ乗りますぞ  1557127166664  null","日本"
"simple @ สวนอาหารบ้านคุ้งน้ำ คลองสุนัขหอน สมุทรสาคร https  t co mOczY8otrO  Somewhere only ME know  ♡ Life is hard だけど ハッピー。  1557127185660  null","Thailand"
"名古屋(愛知県) 16 00の 気温 21 7℃ 南の風 7 4m s 湿度 45%RH https  t co T1tqW6uEn0  Nagoya JAPAN  名古屋の気温湿度、それに絶対湿度をつぶやきます。気象庁のアメダスのページから約30分遅れで更新されます。  1557127221660  null","日本"
"I'm at 熊本地方卸売市場(田崎市場) in 熊本市 熊本県 https  t co lTtXxY0qvN  牧場  てっちゅんです。@syuna_niimo @haruna_niimo @PARURUgt #あお組  1557127223665  null","日本"
"WHILE HEALING THE PROPER CARE OF A TATTOO WILL DETERMINE HOW A TATTOO TURNS OUT PERSONAL HYGIENE IS VERY IMPORTANT… https  t co vqCl16WyM4  Dagos tattoos  null  1557127283661  null","United States"
"Now everything is green  It stills chill but green #Sweden #STHLM #spring #cycle @ Stockholm Sweden https  t co BsWsOOvmu6  cd ~  root from my own life but forgot password and sudo is crashing w coredumps  1557127283664  null","Sweden"
"Jalan2 cari barang dapur (@ AEON BiG Danau Kota in Setapak KL) https  t co 0KsiwIZLIR  Gombak Kuala Lumpur Malaysia  Seorang hamba Allah seorang anak seorang isteri seorang ibu garang & tegas tapi mudah cair kepada anak2  1557127300666  null","Malaysia"
"#Quinceañera #LucyFilms #HugoSanchez #Bodas (505) 459 4155 en Lucy Films Video y Fotografia https  t co 9YsqKIJgya  null  null  1557127441658  null","United States"
"ความเงียบในบ่ายวันหยุด @ aoon pottery https  t co TZRUjpjNhL  Bangkok  )  1557127473663  null","Thailand"
