@relation 'Word vectors calculated from:tweets-weka.filters.unsupervised.attribute.Dl4jStringToWord2Vec-allowParallelTokenization-batchSize512-learningRate0.025-minLearningRate1.0E-4-negative0.0-sampling0.0-useHierarchicSoftmax-actionWORD_VECTOR-concat_words15-embedding_prefixembedding--epochs1-iterations1-layerSize100-minWordFrequency5-preprocessorweka.dl4j.text.tokenization.preprocessor.CommonPreProcessor-seed1-stopWordsHandlerweka.dl4j.text.stopwords.Dl4jNull-index1-tokenizerFactoryweka.dl4j.text.tokenization.tokenizer.factory.DefaultTokenizerFactory-windowSize5-workers8'

@attribute embedding-0 numeric
@attribute embedding-1 numeric
@attribute embedding-2 numeric
@attribute embedding-3 numeric
@attribute embedding-4 numeric
@attribute embedding-5 numeric
@attribute embedding-6 numeric
@attribute embedding-7 numeric
@attribute embedding-8 numeric
@attribute embedding-9 numeric
@attribute embedding-10 numeric
@attribute embedding-11 numeric
@attribute embedding-12 numeric
@attribute embedding-13 numeric
@attribute embedding-14 numeric
@attribute embedding-15 numeric
@attribute embedding-16 numeric
@attribute embedding-17 numeric
@attribute embedding-18 numeric
@attribute embedding-19 numeric
@attribute embedding-20 numeric
@attribute embedding-21 numeric
@attribute embedding-22 numeric
@attribute embedding-23 numeric
@attribute embedding-24 numeric
@attribute embedding-25 numeric
@attribute embedding-26 numeric
@attribute embedding-27 numeric
@attribute embedding-28 numeric
@attribute embedding-29 numeric
@attribute embedding-30 numeric
@attribute embedding-31 numeric
@attribute embedding-32 numeric
@attribute embedding-33 numeric
@attribute embedding-34 numeric
@attribute embedding-35 numeric
@attribute embedding-36 numeric
@attribute embedding-37 numeric
@attribute embedding-38 numeric
@attribute embedding-39 numeric
@attribute embedding-40 numeric
@attribute embedding-41 numeric
@attribute embedding-42 numeric
@attribute embedding-43 numeric
@attribute embedding-44 numeric
@attribute embedding-45 numeric
@attribute embedding-46 numeric
@attribute embedding-47 numeric
@attribute embedding-48 numeric
@attribute embedding-49 numeric
@attribute embedding-50 numeric
@attribute embedding-51 numeric
@attribute embedding-52 numeric
@attribute embedding-53 numeric
@attribute embedding-54 numeric
@attribute embedding-55 numeric
@attribute embedding-56 numeric
@attribute embedding-57 numeric
@attribute embedding-58 numeric
@attribute embedding-59 numeric
@attribute embedding-60 numeric
@attribute embedding-61 numeric
@attribute embedding-62 numeric
@attribute embedding-63 numeric
@attribute embedding-64 numeric
@attribute embedding-65 numeric
@attribute embedding-66 numeric
@attribute embedding-67 numeric
@attribute embedding-68 numeric
@attribute embedding-69 numeric
@attribute embedding-70 numeric
@attribute embedding-71 numeric
@attribute embedding-72 numeric
@attribute embedding-73 numeric
@attribute embedding-74 numeric
@attribute embedding-75 numeric
@attribute embedding-76 numeric
@attribute embedding-77 numeric
@attribute embedding-78 numeric
@attribute embedding-79 numeric
@attribute embedding-80 numeric
@attribute embedding-81 numeric
@attribute embedding-82 numeric
@attribute embedding-83 numeric
@attribute embedding-84 numeric
@attribute embedding-85 numeric
@attribute embedding-86 numeric
@attribute embedding-87 numeric
@attribute embedding-88 numeric
@attribute embedding-89 numeric
@attribute embedding-90 numeric
@attribute embedding-91 numeric
@attribute embedding-92 numeric
@attribute embedding-93 numeric
@attribute embedding-94 numeric
@attribute embedding-95 numeric
@attribute embedding-96 numeric
@attribute embedding-97 numeric
@attribute embedding-98 numeric
@attribute embedding-99 numeric
@attribute word_id string

@data
-0.055648,-0.025326,0.041848,0.118372,0.036143,0.090056,0.041255,-0.024895,-0.064702,0.133923,-0.121942,-0.134874,-0.044048,-0.048901,0.099979,0.130125,0.061197,-0.011366,0.030603,0.066593,-0.019148,0.052117,0.052544,-0.025375,0.027861,-0.04508,-0.000611,0.050515,-0.052724,0.083555,-0.01462,-0.018823,0.098661,0.047879,0.070686,-0.023603,-0.036972,0.042425,0.05332,0.122406,0.066241,-0.064986,0.004138,0.064593,-0.036682,-0.077946,-0.035831,0.050545,0.101645,0.060778,0.000537,0.080888,-0.046754,0.020136,-0.033575,0.017036,0.022278,-0.100318,0.086575,-0.021072,-0.100465,-0.094454,0.019975,-0.101059,-0.008086,0.025343,0.020004,0.06095,-0.013921,0.017966,0.00563,0.035595,-0.038673,0.048432,0.067147,0.024589,-0.025408,0.020497,-0.072268,0.020113,-0.062167,0.002116,-0.039017,0.05602,-0.043921,0.041074,-0.005416,-0.005697,0.060128,-0.064977,-0.017603,-0.002402,0.083462,0.061473,0.077617,-0.014285,0.148859,-0.034898,-0.031146,-0.019706,-10800
-0.02619,0.01012,0.059225,0.298888,0.038256,0.255436,0.189851,-0.138437,-0.088205,0.299242,-0.232486,-0.19185,-0.12327,-0.199381,0.261151,0.322853,0.17598,-0.079693,0.095817,0.111679,-0.104032,0.080334,0.015868,-0.138835,-0.032036,-0.079603,0.045302,0.031427,-0.058051,0.11455,-0.091525,-0.11002,0.128018,0.05484,0.03477,-0.013392,-0.089905,0.099524,0.087494,0.160992,0.040338,-0.06737,-0.032397,0.107695,-0.048106,-0.124636,-0.077385,0.053501,0.082234,0.096677,0.014051,0.155602,-0.036377,-0.006217,-0.048171,0.012816,0.040002,-0.111456,0.136795,-0.008812,-0.139378,-0.108098,0.013977,-0.135091,0.11065,-0.043245,0.132894,-0.020905,0.037274,-0.007347,0.131266,-0.080641,-0.1193,0.096921,0.091667,0.016479,0.027104,0.053099,-0.207896,-0.021905,-0.018703,0.018406,-0.043166,-0.026176,-0.065212,0.041796,0.045527,-0.010441,-0.108919,-0.094471,-0.017326,0.058855,0.096803,0.089523,0.046873,-0.110321,0.36989,-0.025585,-0.04679,0.04539,-14400
-0.027987,0.006338,0.057038,0.294726,0.029403,0.245091,0.19886,-0.143824,-0.080669,0.289469,-0.236286,-0.182269,-0.107591,-0.190122,0.252108,0.305706,0.172954,-0.091705,0.101047,0.115311,-0.101167,0.05848,0.028259,-0.149613,-0.030716,-0.090306,0.052054,0.030122,-0.063557,0.115079,-0.085289,-0.110811,0.114298,0.042138,0.053475,-0.014635,-0.085594,0.082837,0.079051,0.143363,0.057077,-0.077858,-0.010965,0.100957,-0.043812,-0.10557,-0.074106,0.057952,0.086007,0.083437,0.006639,0.148511,-0.043937,-0.002777,-0.045094,0.03682,0.047852,-0.108043,0.139373,0.001322,-0.12174,-0.10365,0.002042,-0.123521,0.09385,-0.033467,0.124478,-0.016036,0.023819,0.005005,0.122022,-0.070193,-0.125557,0.111919,0.102263,0.030433,0.012442,0.045017,-0.208987,-0.016761,-0.032533,0.004022,-0.053494,-0.015073,-0.076942,0.043296,0.036984,-0.020545,-0.085637,-0.105582,-0.026874,0.056641,0.117873,0.104415,0.06789,-0.105174,0.327972,-0.042739,-0.050363,0.018904,-18000
-0.064698,-0.034995,0.040119,0.124869,0.036131,0.095724,0.043972,-0.03039,-0.070999,0.143366,-0.124908,-0.153624,-0.036027,-0.052678,0.110281,0.134517,0.063435,-0.01202,0.041249,0.075121,-0.024521,0.054639,0.060954,-0.019573,0.033611,-0.049568,0.000209,0.061292,-0.050948,0.084754,-0.010691,-0.020657,0.101433,0.041718,0.083502,-0.018728,-0.048341,0.044201,0.058758,0.130866,0.093027,-0.076411,0.010279,0.074964,-0.033965,-0.068932,-0.039175,0.05255,0.101103,0.059117,0.001765,0.094629,-0.054771,0.024261,-0.036066,0.029599,0.038503,-0.106486,0.104672,-0.016214,-0.107433,-0.10761,0.016785,-0.11613,-0.015438,0.028951,0.01189,0.076111,-0.017932,0.022664,0.001966,0.047729,-0.039712,0.050733,0.065826,0.032948,-0.035851,0.013802,-0.066042,0.032862,-0.078323,0.005174,-0.044548,0.072361,-0.049681,0.047038,-0.016452,-0.011864,0.084502,-0.081903,-0.014593,-0.004068,0.093743,0.059862,0.086635,-0.000553,0.146785,-0.034702,-0.025732,-0.0307,-21600
-0.031308,0.006029,0.074972,0.359514,0.050598,0.311376,0.235176,-0.159754,-0.103215,0.364596,-0.282488,-0.235378,-0.154852,-0.235936,0.319261,0.390488,0.219889,-0.10164,0.112612,0.137682,-0.123912,0.10279,0.025776,-0.176493,-0.032653,-0.105777,0.065457,0.029296,-0.078236,0.142331,-0.10624,-0.146371,0.141287,0.063747,0.025194,-0.016455,-0.104767,0.116182,0.104305,0.180786,0.02666,-0.072434,-0.048204,0.126057,-0.047868,-0.148511,-0.090638,0.056636,0.099486,0.111306,0.014683,0.189836,-0.032011,-0.018356,-0.060869,0.020219,0.046758,-0.118642,0.166168,-0.004077,-0.156443,-0.112181,0.018564,-0.157035,0.152264,-0.067941,0.174511,-0.053517,0.048819,-0.006729,0.181056,-0.12357,-0.154976,0.127165,0.115354,0.019728,0.042268,0.06297,-0.269451,-0.032561,-0.004263,0.028302,-0.051566,-0.053021,-0.076403,0.042168,0.058826,-0.021495,-0.172312,-0.109549,-0.026723,0.085534,0.118458,0.115481,0.050587,-0.151986,0.45919,-0.036092,-0.054878,0.047647,-25200
-0.024735,-0.005078,0.023134,0.075994,0.013005,0.053787,0.031551,-0.027543,-0.027564,0.078351,-0.063287,-0.072227,-0.024894,-0.037057,0.064097,0.075191,0.038912,-0.015898,0.018517,0.039576,-0.01771,0.023261,0.022966,-0.017632,0.008198,-0.027988,0.006961,0.021177,-0.024593,0.03709,-0.009428,-0.012391,0.058084,0.024787,0.026472,-0.013857,-0.01793,0.027177,0.023992,0.06228,0.030801,-0.032673,-0.009382,0.03431,-0.013223,-0.041296,-0.02636,0.02521,0.055771,0.040431,0.00029,0.042754,-0.016039,0.010352,-0.017283,0.011529,0.008346,-0.050035,0.045639,-0.008713,-0.055041,-0.045649,0.010115,-0.055342,0.004809,0.007735,0.004456,0.03169,-0.007617,0.010134,0.005776,0.022253,-0.020459,0.021252,0.031137,0.009782,-0.019259,0.006125,-0.034246,0.013539,-0.028026,0.007682,-0.022321,0.027216,-0.020014,0.020701,-0.00276,-0.004864,0.033226,-0.035426,-0.004568,0.005494,0.033021,0.019565,0.033452,0.000032,0.090957,-0.010667,-0.011283,-0.00524,-28800
-0.064803,-0.028593,0.037437,0.101802,0.033143,0.080101,0.026395,-0.018137,-0.062671,0.119827,-0.107005,-0.138612,-0.033857,-0.035857,0.086935,0.103458,0.054533,-0.013013,0.026607,0.067132,-0.012619,0.050671,0.057021,-0.009226,0.030411,-0.037358,0.003079,0.054892,-0.04835,0.073128,-0.010333,-0.016427,0.071979,0.031549,0.095072,-0.014025,-0.048814,0.029411,0.045193,0.10707,0.098663,-0.078101,0.02903,0.062272,-0.030738,-0.047503,-0.037543,0.058457,0.076475,0.043145,-0.001953,0.076519,-0.05849,0.027165,-0.02,0.039711,0.03692,-0.095723,0.08734,-0.006454,-0.084552,-0.090143,0.005178,-0.090218,-0.010938,0.026827,0.008375,0.06882,-0.012705,0.015947,-0.000203,0.050632,-0.036616,0.054243,0.064247,0.030444,-0.035995,0.014587,-0.062464,0.018544,-0.069371,-0.002563,-0.050067,0.066065,-0.04857,0.037864,-0.016118,-0.008507,0.07647,-0.073716,-0.013197,-0.009022,0.086874,0.062481,0.087579,-0.006676,0.108683,-0.035509,-0.031017,-0.034805,-36000
-0.013182,-0.007173,0.005334,0.018543,0.006353,0.02043,0.000415,0.00498,-0.010999,0.032441,-0.028286,-0.032755,-0.008567,-0.008155,0.016187,0.02963,0.01137,-0.003093,0.005936,0.011854,-0.004052,0.017066,0.014801,-0.002678,0.009682,-0.003971,-0.002474,0.012187,-0.00857,0.019856,0.002538,0.000794,0.011422,0.003552,0.024922,-0.000758,-0.013535,0.007862,0.015827,0.01956,0.021764,-0.019216,0.007608,0.018437,-0.004979,-0.01412,-0.008339,0.009665,0.013763,0.006999,0.004066,0.020229,-0.017919,0.007929,0.000844,0.006409,0.0087,-0.016198,0.021806,-0.000513,-0.022559,-0.026197,0.001764,-0.024144,0.000727,-0.000568,0.008686,0.01029,0.001999,0.00232,0.00366,0.004322,-0.008083,0.014488,0.011557,0.004821,-0.0025,0.001108,-0.02349,0.00661,-0.013446,0.00319,-0.014362,0.013247,-0.011609,0.008908,-0.005929,-0.003575,0.009441,-0.01989,-0.006088,-0.00147,0.018936,0.019901,0.014199,-0.004268,0.029082,-0.007576,-0.003997,-0.004829,-39600
-0.040205,-0.018635,0.0409,0.13577,0.022302,0.111753,0.071244,-0.047533,-0.050872,0.150999,-0.124574,-0.123507,-0.047419,-0.071706,0.121067,0.146727,0.072596,-0.03069,0.044393,0.061096,-0.042244,0.041722,0.03329,-0.052662,0.006276,-0.048182,0.020949,0.038897,-0.046744,0.067259,-0.024122,-0.039696,0.094942,0.043723,0.053167,-0.013617,-0.046075,0.043944,0.05305,0.111995,0.056506,-0.05824,-0.009722,0.060238,-0.028407,-0.074448,-0.044458,0.038656,0.079905,0.062369,0.003143,0.090774,-0.039328,0.011699,-0.034679,0.018878,0.025832,-0.086676,0.088893,-0.01112,-0.095983,-0.080381,0.01404,-0.097762,0.021506,0.009519,0.034593,0.039057,-0.008077,0.014565,0.023798,0.007758,-0.051186,0.051712,0.05971,0.017454,-0.018302,0.020071,-0.07733,0.010995,-0.04293,0.008922,-0.040342,0.03782,-0.04064,0.029167,-0.003527,-0.008464,0.017504,-0.060934,-0.0162,0.009395,0.073114,0.053353,0.064655,-0.019255,0.173192,-0.025754,-0.024231,-0.009631,-7200
0.094646,0.045105,-0.046596,-0.10409,-0.01462,-0.04877,-0.016141,0.028757,0.082558,-0.104974,0.123524,0.154041,0.001244,0.009367,-0.074934,-0.078771,-0.043505,0.019535,-0.045568,-0.0841,-0.013383,-0.025454,-0.086706,-0.015299,-0.046409,0.050189,-0.003744,-0.088025,0.050905,-0.090285,-0.012509,-0.000762,-0.159181,-0.076061,-0.114678,0.044091,0.016379,-0.033151,-0.044995,-0.172947,-0.13141,0.100017,-0.007925,-0.072595,0.04265,0.092858,0.021992,-0.064476,-0.174174,-0.093033,0.013859,-0.062534,0.063356,-0.066556,0.05867,-0.017453,-0.0214,0.145976,-0.092181,0.055297,0.140847,0.136323,-0.043795,0.149741,0.141875,-0.116221,0.122281,-0.218515,0.06075,-0.035176,0.147309,-0.209739,-0.047415,-0.007144,-0.056633,-0.048635,0.114109,0.031529,-0.088987,-0.097775,0.156748,-0.001433,0.0547,-0.189191,0.030477,-0.060627,0.082838,-0.000669,-0.308986,0.073475,0.009374,0.070504,-0.08786,-0.02758,-0.149198,-0.125976,-0.045142,0.067821,0.029318,0.087791,0
